Questions,Question,Category,Technology,Topic,Sub Topic,Type of Question,Are Qs Same?
1)what is exception handling?,What is exception handling?,Tech,Programming,Exception Handling,N/A,Theoretical,
2)can we use try with out catch block?,Can we use try without catch block?,Tech,Programming,Exception Handling,N/A,Theoretical,
3)explain software development life cycle?,Explain software development life cycle?,Tech,Software Development,SDLC,N/A,Theoretical,
4)pick one topic on any stream explain it to me?,Pick one topic on any stream and explain it to me?,Tech,N/A,N/A,N/A,Theoretical,
5)tell me about yourself?,Tell me about yourself?,Non-Tech,N/A,Personal Introduction,N/A,N/A,
5)expain the thread concept?,Explain the thread concept?,Tech,Programming,Multithreading,N/A,Theoretical,
6)explain collections?,Explain collections?,Tech,Programming,Collections,N/A,Theoretical,
7)size of array list?,Size of ArrayList?,Tech,Programming,Collections,ArrayList,Theoretical,
Tell me about yourself? ,Tell me about yourself?,HR,N/A,Personal Introduction,N/A,N/A,
Being a electronic and telecommunications background why are you looking for a job in computer science?? ,"Being an electronic and telecommunications background, why are you looking for a job in computer science?",HR,N/A,Career Transition,N/A,Theoretical,
Tell me about your internship project? ,Tell me about your internship project,Tech,N/A,Project Experience,N/A,Theoretical,
(what language have you used)? ,(what language have you used),Tech,N/A,Language Used,N/A,Theoretical,
Are you proficient in java ,Are you proficient in Java,Tech,Java,Proficiency,N/A,Theoretical,
Which version of java are you aware of?? ,Which version of Java are you aware of?,Tech,Java,Version Knowledge,N/A,Theoretical,
What is functional interface ,What is functional interface,Tech,Java,Java Concepts,Functional Interface,Theoretical,
Write a code to print arraylist elements using lambda function ,Write a code to print ArrayList elements using lambda function,Tech,Java,Java Programming,Lambda Functions,Code Based,
What is equals method ,What is the equals method,Tech,Java,Java Concepts,Equals Method,Theoretical,
Write method signature for equals method ,Write method signature for equals method,Tech,Java,Java Programming,Equals Method,Code Based,
Which class its belongs to?? ,Which class does it belong to?,Tech,Java,Java Concepts,Class Hierarchy,Theoretical,
Tell me about singleton class?? ,Tell me about a singleton class,Tech,Java,Design Patterns,Singleton Class,Theoretical,
Q.. What is functional interface  ,What is a functional interface?,Tech,Java,Java Concepts,N/A,Theoretical,
Q. Write a code to print arraylist elements using lambda function ,Write a code to print ArrayList elements using lambda function,Tech,Java,Java Collections,Lambda,Code Based,
Q. Write method signature for equals method ,Write the method signature for the equals method,Tech,Java,Java Object-Oriented,N/A,Theoretical,
Q. Tell me about singleton class?? ,Tell me about a singleton class?,Tech,Java,Design Patterns,Singleton,Theoretical,
Tell me about yourself ?  ,Tell me about yourself?,Non-Tech,N/A,Personal,N/A,Theoretical,
Being a mechanical and? background why are you looking for a job in computer science?? ,"Being from a mechanical background, why are you looking for a job in computer science?",Non-Tech,N/A,Personal,N/A,Theoretical,
Tell me about your family ? ,Tell me about your family?,HR,N/A,Personal,N/A,Theoretical,
Are you proficient in java? ,Are you proficient in Java?,Tech,Java,Language Proficiency,N/A,Theoretical,
What is final keyword ? ,What is the final keyword?,Tech,Java,Java Keywords,N/A,Theoretical,
What is functional interface? ,What is a functional interface?,Tech,Java,Java Concepts,N/A,Theoretical,
