Low-Code No-Code Platform,Job Site,Job Title,Company,Location(s),Experience,Role,Preferred Key Skills,Requirements (Job Description),Responsibilities,JD Link,No. of Vacancies,Salary Offered,,
Outsystems,naukri.com,Outsystems Developer,Leading IT Firm,"• Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4 - 9 years,Front End Developer,"• CSS
• JavaScript
• Outsystems","• Strong understanding of Object-Oriented Programming concepts and design patterns (MVC/MVVM).
• Experience working with version control systems like Git; familiarity with JIRA is an added advantage.
• Bachelor's degree in Computer Science or related field; Master's degree preferred.","• Design, develop, test, and deploy OutSystems applications using C# and SQL.
• Collaborate with cross-functional teams to identify business requirements and translate them into technical solutions.
• Develop front-end components using HTML, CSS, JavaScript, jQuery, React.JS, and JIRA for seamless user experiences.
• Ensure high-quality code by following best practices in coding standards (e.g., MVVM) and testing methodologies (e.g., unit tests).
• Participate in Agile development processes such as Scrum to deliver projects on time.",naukri.com/job-listings-outsystems-developer-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-9-years-280824900360?src=jobsearchDesk&sid=17252675761913287&xp=4&px=1,,,,
Outsystems,naukri.com,Outsystems Developer,IT SCIENT,"Hyderabad, Chennai, Bengaluru",4 - 7 years,IT & Information Security - Other,• Outsystems,"Must have OutSystems 10/ 11 certification, with one or more of the following : Associate Web Developer, Associate Mobile Developer, Development Professional, or Technical Lead.",,https://www.naukri.com/job-listings-outsystems-developer-it-scient-hyderabad-chennai-bengaluru-4-to-7-years-020924002920?src=jobsearchDesk&sid=17252675761913287&xp=5&px=1,,,,
Outsystems,naukri.com,Outsystems Developer,Billennium,Pune,2 - 8 years,Software Development - Other,,"• At least 2 year experience in OutSystems software development / programming
• At least 6 months experience in OutSystems 10 or above version
• Deliver modules of substantial software systems unaided
• Experience in MVC, Web API, entity framework, SQL server
• Experience in API integration
• Experience in Unit Testing
• Experience in object-oriented programming
• Experience in modern web technologies (HTML5, CSS, JavaScript, Vue, React, Angular etc.)
• Agile working exposure
• Fluency in English, written and spoken (mandatory)
• Version control proficiency
• Understand and intelligently debug both existing and new software
• Experience in technical writing
• Strong analytical and problem-solving skills
• Experience in relational database including SQL
• Degree in Computer Engineering or similar
Experience in OutSystems Reactive Web Apps development
• Certified OutSystems 11 web developer
• Proven ability to design and optimize application and data integration processes across systems
Experience in Web Services design & development",,https://www.naukri.com/job-listings-outsystems-developer-billennium-pune-2-to-8-years-290824501903?src=jobsearchDesk&sid=17252675761913287&xp=6&px=1,,,,
Outsystems,naukri.com,OutSystems / Mendix - Developer - Immediate Joiners - Chennai,Optimum Infosystem Pvt. Ltd.,Chennai,5 - 10 years,Full Stack Developer,"• OutSystems
• Mendix
• UI Design e.g., Data Entry, Layout and Actions.
• Work flows / Micro flows, Data validation and security.
• SQL Development and Integration
• Rest API Integration
• Unit Testing & Automation
• HTML/CSS Knowledge","• Bachelors degree in computer science or equivalent practical experience.
• Development Team Member / Lead - Minimum 5 to 10 years of hands-on development experience.
• Hand on experience in developing web application using low code platforms.
• Proficient in writing Complex SQL Queries and SQL functions.
• Experience with code versioning tools e.g., GIT / SVN
• Good learning ability, teamwork ability and communication ability; good at thinking, able to analyze and solve problems independently.
• Comfortable with Agile operating models.
• Ability to work in team in diverse/ multiple stakeholder environment.","• Collaborate with a team to design, develop, test, review and deliver new functions.
• Manage the own task and provide technical guidance to junior colleagues.
• Develop User Interface (UI), Batch Jobs, Business Components based on the design document requirements.
• Develop OutSystems / Mendix components (UI, Workflows / Microflows, Unit Testing, Functional Testing) based on the functional requirements.
• Ensure the performance, quality and responsiveness of applications
• Identify and correct issues and provide appropriate solutions in upfront.
• Maintain design, development standards and code quality as per the policy and guidelines defined by Project Management Office (PMO)
• Develop / Configure workflows and microflows based on the functional requirements.
• Test, integrate, document and release software adhering to technical and quality standards.
• Any other duties as and when assigned.",https://www.naukri.com/job-listings-outsystems-mendix-developer-immediate-joiners-chennai-optimum-solutions-chennai-5-to-10-years-280824911695?src=jobsearchDesk&sid=17252675761913287&xp=8&px=1,,,,
Outsystems,naukri.com,Senior OutSystems Developer - Dubai (Onsite),FZE Digityze Solutions,Dubai,5 - 7 years,Full Stack Developer,• Outsystems,,"• Develop and deploy scalable OutSystems applications. 
• Lead and mentor junior developers. Integrate with existing systems and optimize performance. 
• Troubleshoot issues, maintain documentation, and collaborate with stakeholders.",https://www.naukri.com/job-listings-senior-outsystems-developer-dubai-onsite-fze-digityze-solutions-dubai-5-to-7-years-240824007120?src=jobsearchDesk&sid=17252675761913287&xp=9&px=1,,,,
Outsystems,naukri.com,TS - Outsystems Developer,Srivango,"Hyderabad, Pune, Bengaluru",5 - 10 years,Sr. Consultant,• Outsystems,"Strong hands-on experience developing Outsystems web and mobile applications

• Strong knowledge of C# and SQL languages
• Proficiency in web-based languages, specifically JavaScript and CSS.",,https://www.naukri.com/job-listings-ts-outsystems-developer-srivango-hyderabad-pune-bengaluru-5-to-10-years-090124011314?src=jobsearchDesk&sid=17252675761913287&xp=10&px=1,,,,
Outsystems,naukri.com,OutSystems – Developer (Junior /Senior),Conneqt Digital,Bengaluru,8 - 15 years,Technical Architect,"• Outsystems
• HTML;Javascript
• Head Business Development
• jQuery
• Web services
• Web technologies
• Data modeling
• Javascript
• Application development
• HTML","• 4+ years of hands-on experience in Outsystems
• Proficiency with web services (REST and SOAP);
• Proficiency in web-based languages (JavaScript, JQuery, CSS, HTML);
• Understanding of full stack development;
• Experience in development using Outsystems
• Understanding of Rapid Application Development(RAD) best practices and implementation;
• Certification from OutSystems is a plus
• Provide expert level assistance to our client using the OutSystems platform
• Ability to pay attention to details and be well organized;
• Ability to do basic data modeling and enforce proper referential integrity constraints;",,OutSystems – Developer (Junior /Senior) - Bengaluru/Bangalore - Conneqt Digital - 8 to 15 years of experience (naukri.com),,,,
Outsystems,indeed.com,Application Developer,Accenture,"Pune, Noida",3+ years,Application Developer,#NAME?,"Design, build and configure applications to meet business process and application requirements.

As an Application Developer, you will be responsible for designing, building, and configuring applications to meet business process and application requirements. 
You will work closely with the team to ensure the successful delivery of high-quality software solutions. 

Professional & Technical Skills: 
 
- Good To Have Skills: Experience with Agile development methodologies. 
- Strong understanding of software development principles and best practices. 
- Experience in designing and developing web and mobile applications. 
- Knowledge of relational databases and SQL. 
- Familiarity with front-end technologies such as HTML, CSS, and JavaScript. ","Roles & Responsibilities: 
- Expected to perform independently and become an SME. 
- Required active participation/contribution in team discussions. 
- Contribute in providing solutions to work related problems. 
- Collaborate with cross-functional teams to gather and analyze requirements. 
- Design, develop, and test OutSystems applications. 
- Troubleshoot and debug issues in existing applications. 
- Ensure the performance, quality, and responsiveness of applications. 
- Participate in code reviews to maintain code quality. 
- Stay up-to-date with industry trends and advancements in OutSystems development. 
Professional & Technical Skills: 
- Must To Have Skills: Proficiency in OutSystems. 
- Good To Have Skills: Experience with Agile development methodologies. 
- Strong understanding of software development principles and best practices. 
- Experience in designing and developing web and mobile applications. 
- Knowledge of relational databases and SQL. 
- Familiarity with front-end technologies such as HTML, CSS, and JavaScript. ",https://in.indeed.com/viewjob?jk=cd96542915f0ec76&tk=1i6p2vnqnkk3o800&from=serp&vjs=3,,,,https://www.linkedin.com/jobs/view/4013729012
Outsystems,indeed.com,Technical Lead,HCL Technologies,Noida,5-9 Years,Technical Lead,"• Modern Application Development
• Rapid Application Development(Rad)
• OutSystems",B-Tech,"• To be responsible for managing technology in projects and providing technical guidance or solutions for work completion. 
• To develop and guide the team members in enhancing their technical capabilities and increasing productivity.
• To prepare and submit status reports for minimizing exposure and risks on the project or closure of escalations.
• To be responsible for providing technical guidance or solutions ;define, advocate, and implement best practices and coding standards for the team. 
• To ensure process compliance in the assigned module, and participate in technical discussionsorreview as a technical consultant for feasibility study (technical alternatives, best packages, supporting architecture best practices, technical risks, breakdown into components, estimations).",https://in.indeed.com/viewjob?jk=dcc00d7eaeaed76a&tk=1i6p8ruudkk2480p&from=serp&vjs=3,2,,,
Outsystems,indeed.com,Programmer (Dev),Persistent Systems,India,2+ years,OutSystems Developer,Outsystems,"• An OutSystems Certification: Web Associate Developer or higher (ideally).
• A proven track record of writing high quality, efficient code using OutSystems, APIs and scripting languages.
• 2+ years as an OutSystems Developer
• Working with databases and designing data models
• Building applications and services in OutSystems for web and/or mobile
• Proficiency with OutSystems Service Studio
• Working in an agile software development environment
• Technical skills and competency of OutSystems architecture and general solution design
• Strong knowledge of Service Center and Lifetime
• Keen problem-solving mindset to meet the needs of our customers
• Ability to collaborate well with all team members and to contribute during planning, refinement, and review ceremonies
• As a trusted member of the team, you will also assist in application support as and when needed
• Proficient with the English language ? written and spoken","• Analyze and interpret business / functional requirements into technical specifications.
• Interpret business / technical requirements and develop solutions
• Ensure deadlines are met while ensuring quality
• Work on multiple assignments simultaneously
• Follow prescribed client standards and processes
• Communicate progress / priorities / issues proactively to the tech lead and project managers",,,,,
